"dayhour","operation","instance_id","usage"
"2024-10-24 17:00:00","InterZone-In","i-03f59dfc731715c47","0.001056687"
"2024-10-24 17:00:00","InterZone-In","i-0f772c49bd7332fe2","0.0010151146"
"2024-10-24 17:00:00","InterZone-In","i-0f9de5949bf38e695","0.0010043103"
"2024-10-24 17:00:00","InterZone-Out","i-086ffcbdec224b149","0.0089340797"
"2024-10-24 17:00:00","InterZone-Out","i-0a93571b5aad971ca","0.0078108646"
"2024-10-24 17:00:00","InterZone-Out","i-0f85a55ac462972bf","0.0078679845"
"2024-10-24 17:00:00","InterZone-In","i-0a078f18e5c0b6837","0.0138862655"
"2024-10-24 17:00:00","InterZone-In","i-066760ce3c5b61500","0.0143861836"
"2024-10-24 17:00:00","InterZone-Out","i-02206a886a3713f58","0.0018055597"
"2024-10-24 17:00:00","InterZone-Out","i-095247182bdac6586","0.0015977975"
"2024-10-24 17:00:00","InterZone-Out","i-0063023c733e2fa77","0.0084430045"
"2024-10-24 17:00:00","InterZone-Out","i-0027d981ea60faa7f","0.0081760138"
"2024-10-24 17:00:00","InterZone-Out","i-0068d53ac937a37cd","0.0092172688"
"2024-10-24 17:00:00","InterZone-Out","i-0508a83dd0d7deed8","0.0090714796"
"2024-10-24 17:00:00","InterZone-Out","i-02e4d09335086b6ba","0.0035545826"
"2024-10-24 17:00:00","InterZone-In","i-05dd9dec757ff1707","0.0141453417"
"2024-10-24 17:00:00","InterZone-Out","i-004e472bee286a6d4","0.0035908865"
"2024-10-24 17:00:00","InterZone-Out","i-0300038570b16aa65","0.0035386235"
"2024-10-24 17:00:00","InterZone-Out","i-0bbf5c4f4bba206b2","2.5486612376"
"2024-10-24 17:00:00","InterZone-Out","i-0f82973f836245396","0.0084796054"
"2024-10-24 17:00:00","InterZone-Out","i-0b321143010a889d8","0.0036002668"
"2024-10-24 17:00:00","InterZone-In","i-017a7c7385ff7c460","0.0142550701"
"2024-10-24 17:00:00","InterZone-Out","i-0dc90dda49963aa82","0.0016467497"
"2024-10-24 17:00:00","InterZone-In","i-01ace473b1402f457","1.8589325733"
"2024-10-24 17:00:00","InterZone-In","i-0868af50a0782f1d3","2.1425639773"
"2024-10-24 17:00:00","InterZone-Out","i-05dd9dec757ff1707","0.0036412152"
"2024-10-24 17:00:00","InterZone-Out","i-0e1c763ffb37a48b7","0.043425858"
"2024-10-24 17:00:00","InterZone-In","i-00b4d7769f79e569b","2.090631987"
"2024-10-24 17:00:00","InterZone-Out","i-037dda03e882b49c6","0.0078192046"
"2024-10-24 17:00:00","InterZone-In","i-011689cc320f75098","2.0941015175"
"2024-10-24 17:00:00","InterZone-In","i-053f1b29f841ba3c1","0.0138538713"
"2024-10-24 17:00:00","InterZone-Out","i-058f433bba9b7cb8b","0.0018643746"
"2024-10-24 17:00:00","InterZone-In","i-0219215983db07fc7","2.0959544517"
"2024-10-24 17:00:00","InterZone-Out","i-0bf69ea45d2a93250","0.0075831851"
"2024-10-24 17:00:00","InterZone-Out","i-06ee2cf5359ae56f6","1.694961E-4"
"2024-10-24 17:00:00","InterZone-In","i-0a01d8e046f07aadc","0.0789866103"
"2024-10-24 17:00:00","InterZone-In","i-037d2c1e7b76eeb55","2.0897467528"
"2024-10-24 17:00:00","InterZone-In","i-0255efb605d4ee187","0.0168311791"
"2024-10-24 17:00:00","InterZone-In","i-0cc0c0d55433b9578","1.8981769988"
"2024-10-24 17:00:00","InterZone-In","i-082645ac1ae26bd05","1.8391488744"
"2024-10-24 17:00:00","InterZone-Out","i-01a44d123f14b737e","0.0079560084"
"2024-10-24 17:00:00","InterZone-In","i-095247182bdac6586","3.84788E-4"
"2024-10-24 17:00:00","InterZone-Out","i-022ce381067eafcdd","0.0090980921"
"2024-10-24 17:00:00","InterZone-In","i-086ffcbdec224b149","2.0855892263"
"2024-10-24 17:00:00","InterZone-In","i-0fa961cb26a394dcc","0.5571944769"
"2024-10-24 17:00:00","InterZone-Out","i-07cc4f962d105c29b","0.0036325185"
"2024-10-24 17:00:00","InterZone-In","i-07cfc5948e0b6e1a2","0.0145558901"
"2024-10-24 17:00:00","InterZone-Out","i-0c7091d5b6aa6a1dd","0.007894828"
"2024-10-24 17:00:00","InterZone-Out","i-04e84d50b5d1da1ba","0.0082467403"
"2024-10-24 17:00:00","InterZone-Out","i-0be901072e8d0d8cf","0.0080766957"
"2024-10-24 17:00:00","InterZone-In","i-09e0696bb9b84055c","2.7529138755"
"2024-10-24 17:00:00","InterZone-In","i-0902b50a5e0341793","0.0138569698"
"2024-10-24 17:00:00","InterZone-In","i-05369232adabf532b","2.0939435475"
"2024-10-24 17:00:00","InterZone-In","i-033d724ded18701b6","0.0132134454"
"2024-10-24 17:00:00","InterZone-In","i-092fd4383bce75374","2.1271536006"
"2024-10-24 17:00:00","InterZone-In","i-0d3fe7b93a21b0fe3","0.0138142202"
"2024-10-24 17:00:00","InterZone-Out","i-0709fd6aa6c39e758","0.0090128276"
"2024-10-24 17:00:00","InterZone-Out","i-08bbc8ada749cbde9","0.0014885794"
"2024-10-24 17:00:00","InterZone-Out","i-0327e3c1f037aa8b0","0.0080559272"
"2024-10-24 17:00:00","InterZone-Out","i-02de801f31740d93b","0.001489562"
"2024-10-24 17:00:00","InterZone-In","i-05f2b96d40b064cdd","0.056771161"
"2024-10-24 17:00:00","InterZone-Out","i-0dffcd1c468f99b03","0.0021531209"
"2024-10-24 17:00:00","InterZone-Out","i-0073f8aa623b44ba9","0.0076203812"
"2024-10-24 17:00:00","InterZone-In","i-0dae383c1deda0f30","1.8739456963"
"2024-10-24 17:00:00","InterZone-In","i-0d2b036011cc8440d","2.0630478309"
"2024-10-24 17:00:00","InterZone-In","i-01899cd74993819fb","0.0011129286"
"2024-10-24 17:00:00","InterZone-In","i-013c2469e789558e3","2.1292766286"
"2024-10-24 17:00:00","InterZone-In","i-0b2ddf0cd36237b04","9.838529E-4"
"2024-10-24 17:00:00","InterZone-In","i-0837d9bbfe731b546","0.0151956175"
"2024-10-24 17:00:00","InterZone-In","i-06db015d801eb5890","0.0143230995"
"2024-10-24 17:00:00","InterZone-Out","i-09e0696bb9b84055c","0.0305686621"
"2024-10-24 17:00:00","InterZone-Out","i-0b67a4e7e4a0f4a10","0.0021499395"
"2024-10-24 17:00:00","InterZone-Out","i-028013710411a67ee","0.0078927763"
"2024-10-24 17:00:00","InterZone-In","i-00c3c0741f824c4e1","2.1332676932"
"2024-10-24 17:00:00","InterZone-In","i-0f13f40c5b6981ea2","0.0135283303"
"2024-10-24 17:00:00","InterZone-In","i-09bdcccf4016d69ef","0.7165140044"
"2024-10-24 17:00:00","InterZone-Out","i-0013e6c0b34d6c83a","0.0076841982"
"2024-10-24 17:00:00","InterZone-Out","i-0d23cd7056b9ff406","0.0014871554"
"2024-10-24 17:00:00","InterZone-In","i-007cda34949925594","2.1163059585"
"2024-10-24 17:00:00","InterZone-In","i-022ce381067eafcdd","2.1096516186"
